BitBox Base V0.40B,,,,,,,,,,,,,
Item,Manufacturer,Manufacturer Part Number,ERP_MPN,Designator,Qty,Description,Package / Case,"SMD ,BGA,LLC(QFN),OR  TH",Top/Bottom,X-Ray,Polarity,,
1,FengHua(风华),0603B105K160NT,C109-0603B105K160NT,"C1, C2, C8, C9, C11, C13, C14, C25",8,"1uF,16V,10%,X7R,0603",0603,SMD,,,,,
2,Taiyo Yuden,EMK107ABJ475KA-T,C316-EMK107ABJ475KA-T,"C3, C5, C6, C22",4,"4.7uF,16V,10%,X5R,0603",0603,SMD,,,,,
3,Yageo,CC0603KRX7R9BB104,C333-CC0603KRX7R9BB104,"C4, C7, C10, C15, C17, C18, C19, C20, C21, C23, C24",11,"100nF,50V,10%,X7R,0603",0603,SMD,,,,,
4,Murata,GCM188R71H472KA37D,C275-GCM188R71H472KA37D,C12,1,"4.7nF,50V,10%,X7R,0603",0603,SMD,,,,,
5,TDK Corporation,C1608X5R1A106K080AC,C317-C1608X5R1A106K080AC,"C16, C28",2,"10uF,10V,10%,X5R,0603",0603,SMD,,,,,
6,Diodes Incorporated,B0530WSQ-13-F,C228-B0530WSQ-13-F,D1,1,"30V,500mA,SOD-323",SOD-323,SMD,,,Yes,,
7,Diodes Incorporated,AP3012KTR-G1,C228-AP3012KTR-G1,IC1,1,"AP3012KTR-G1,SOT-23-5",SOT-23-5,SMD,,,,,
8,Microchip Technology,MIC5504-3.3YM5-TR,C269-MIC5504-3.3YM5-TR,IC2,1,"MIC5504-3.3YM5-TR,SOT-23-5",SOT-23-5,SMD,,,,,
9,Nxp Semiconductors,"74HCT541PW,118","C283-74HCT541PW,118","IC3, IC6",2,"74HCT541PW,118,20-TSSOP",20-TSSOP,SMD,,,Yes,,
10,Microchip Technology,ATSAMD51J20A-MU,C269-ATSAMD51J20A-MU,IC4,1,"ATSAMD51J20A-MU,64-VQFN",64-VQFN,LLC(QFN),,Yes,Yes,,
11,Nxp Semiconductors,"PRTR5V0U2F,115","C283-PRTR5V0U2F,115",IC5,1,"5.5V(Max),SOT-886",SOT-886,SMD,,,Yes,,
12,Microchip Technology,ATECC608A-MAHDA-S,C269-ATECC608A-MAHDA-S,IC7,1,"ATECC608A-MAHDA-S,8-UDFN",8-UDFN,SMD,,Yes,Yes,,
13,Wurth Electronics,74404043100A,C330-74404043100A,L1,1,"10uH,1.76A,20%,42MHz,4.00mmL*4.00mmW*2.50mmH",4.00mmL*4.00mmW*2.50mmH,SMD,,,,,
14,TDK Corporation,MLZ1608A1R0WTD25,C317-MLZ1608A1R0WTD25,L2,1,"1uH,600mA,20%,0603",0603,SMD,,,,,
15,TDK Corporation,MMZ1608R102ATA00,C317-MMZ1608R102ATA00,L4,1,"1K,400mA,0603",0603,SMD,,,,,
16,SunLED,XZMDKCBDDG45S-9,C4498-XZMDKCBDDG45S-9,"LED1, LED2",2,"RGB,1.95V/3.3V/3.3V,108mcd/497mcd/98mcd,4-PLCC",4-PLCC,SMD,,,Yes,,
17,Osram,LW T773-P1S1-5K8L-Z,C287-LW T773-P1S1-5K8L-Z,"LED3, LED4, LED5, LED6, LED7",5,"White,3.1V,134.5mcd,SMD(3.20mmL*2.80mmW*2.10mmH)",SMD(3.20mmL*2.80mmW*2.10mmH),SMD,,,Yes,,
18,Amphenol,10051922-2410ELF,C205-10051922-2410ELF,P1,1,"1*24Pins,Pin Pitch0.50mm,90°",Pin Pitch0.50mm,SMD,,,Yes,,
19,TE Connectivity,2328702-6,C324-2328702-6,P2,1,"1*6Pins,Pin Pitch0.50mm,90°",Pin Pitch0.50mm,SMD,,,Yes,,
20,TE Connectivity,3-647166-5,C324-3-647166-5,P3,1,"1*5Pins,Pin Pitch2.54mm,180°",Pin Pitch2.54mm,SMD,,,Yes,,
21,Yageo,RC0603FR-071KL,C333-RC0603FR-071KL,"R1, R16, R17, R18, R19, R21, R22",7,"1K,1%,1/10W,0603",0603,SMD,,,,,
22,Yageo,RC0603FR-0715KL,C333-RC0603FR-0715KL,R2,1,"15K,1%,1/10W,0603",0603,SMD,,,,,
23,Panasonic,ERJ-3EKF5603V,C288-ERJ-3EKF5603V,R3,1,"560K,1%,1/10W,0603",0603,SMD,,,,,
24,Yageo,RC0603FR-071K6L,C333-RC0603FR-071K6L,R4,1,"1.6K,1%,1/10W,0603",0603,SMD,,,,,
25,Yageo,RC0603FR-0747KL,C333-RC0603FR-0747KL,R5,1,"47K,1%,1/10W,0603",0603,SMD,,,,,
26,Yageo,RC0603FR-0710KL,C333-RC0603FR-0710KL,R6,1,"10K,1%,1/10W,0603",0603,SMD,,,,,
27,Yageo,RC0603FR-072K2L,C333-RC0603FR-072K2L,"R7, R9, R28, R29, R30",5,"2.2K,1%,1/10W,0603",0603,SMD,,,,,
28,Yageo,RC0603FR-07100KL,C333-RC0603FR-07100KL,R8,1,"100K,1%,1/10W,0603",0603,SMD,,,,,
29,Yageo,RC0603FR-07220RL,C333-RC0603FR-07220RL,"R10, R11, R12, R13, R14",5,"220R,1%,1/10W,0603",0603,SMD,,,,,
30,Yageo,RC0603FR-07120RL,C333-RC0603FR-07120RL,"R20, R25",2,"120R,1%,1/10W,0603",0603,SMD,,,,,
31,Bourns,CR0603-FX-6200ELF,C213-CR0603-FX-6200ELF,"R23, R26",2,"620R,1%,1/10W,0603",0603,SMD,,,,,
